Course_name, Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,01: Course Introduction & Syllabus, QSoXOqu8Z8E, https://drive.google.com/file/d/1_IndVgNDZ5wfP3kFFwlAT6u_iKVlDiMs/view?usp=sharing
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,02: Introduction to Vedic Astrology, sLimesWCFNk, https://drive.google.com/file/d/1sdNSDT2SzE--t_NqDJxrNz8vITkcyaLP/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,03: Astronomy relevant to Astrology, Ewo5H_rRaQ8, https://drive.google.com/file/d/15FuR5mHLGx6FzP7l9MotR5FgSqTx9JSb/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,04: Strength of Time(ಕಾಲ ಬಲ), YpCGf8NjKbM, https://drive.google.com/file/d/1ONL0v_aa27mdzOO-oMrL9qepv4J33VUy/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,05: Karma Theory(Part-1), uGOxpIsIt14, https://drive.google.com/file/d/1KCk0sp2ZShcA5DjqldiBKDOW40nmhWMp/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,06: Karma Theory(Part-2),zLVVF9SSrA8, https://drive.google.com/file/d/1nkInVU1olHrfnFHYR2TrqWlmmP_-CZKn/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,07: Planets-Karakatwas(Part-1),l6kSfIgKCT8, https://drive.google.com/file/d/1kBbal8SvbIFg-sncZ0gxqVbkbnXSS5mj/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,08: Planets-Karakatwas(Part-2),Jp1F9cWwh1s, https://drive.google.com/file/d/17CJqHOcvC4vrK0azMxvNks6kNzXsiVzG/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,09: Lagna & Dwadasha Bhavagalu(Part-1),b1RzY0yXMn4, https://drive.google.com/file/d/1FFRffa_pXjXWpwrK5Jh8ekbi7JJLYVMF/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,10: Dwadasha Bhavagalu(Part-2),wRHx02j6AQ0, https://drive.google.com/file/d/17QxhxXlj_1UnSR9XUq-xUurLHZ36ZivF/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,11: Kendra Sthaana & Trikona Sthaana,xJb_HwnO7lM, https://drive.google.com/file/d/1MT1p1X2tubYcGVpJqayzzwkh_OavjGLE/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,12: Yoga Karaka; Kendradhipatya Dosha; Planets & Relationship,7pIuZfgrGMw, https://drive.google.com/file/d/1QhfBSep7CfJ_pTggMxO7WU2-8iRktNui/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,13: Grahamaitri(ಗ್ರಹಮೈತ್ರಿ),nqENqcx07g4, https://drive.google.com/file/d/1or9YXRmbzlzGe3VLUKplM86SXSGYkfRH/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,14: How to read a Horoscope(Part-1),U78ipXgdAFw, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,15: Graha Role Mapping Sheet(WebApp),m77jfmMNXjg, https://vaiswanara.github.io/read_horoscope/
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,16: PREDICTION PRINCIPLES & CORE LEARNING GUIDELINES,vZPSeDibpqQ, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,17: Introduction to Lagna,vmgSAKS6g-c, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,18: Lagna & the Self: A Philosophical Insight,u_9Q8N13xDk, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,19: Analyzing Lagna - Practice,5lIudvJRLAM, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,20: ಎಲ್ಲವೂ ವಿಧಿ ಲಿಖಿತವಾದರೆ ನಮ್ಮ ಪ್ರಯತ್ನಕ್ಕೆ ಏನು ಬೆಲೆ?,AJCVLLQikqg, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,21: EDUCATION - Introduction,s2ZVRhsgKjs, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,22: Vidya Sthaana-Practice,ND_o-XMGXQs, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,23: Course Selection & Common Questions,oxaH2GCVSVg, https://drive.google.com/file/d/1OyX_zNEliaBiWz0OSrbQra3OjFNk74Lx/view?usp=sharing
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,24: Higher Education & Remedies,5s_DPNxQcC8, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,25: Career(Job/Business) - Introduction,D8GCTp7j2Ys, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,26: Suitable areas for Business/Job,OoTtNyq1Ue8, https://drive.google.com/file/d/1ZBf2qwSdZOWT98gOHvAnY8T3LNBZuWdy/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,27: About Navaamsha(D9),yEqV7Gta6EA, https://docs.google.com/spreadsheets/d/1NPKxxSyL2vsUO8IO40XVu7PiqOp3EEj-/edit?gid=126754559#gid=126754559
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,28: Income-Savings-Expenditure,8ttluQIc9OU, https://drive.google.com/file/d/1W3jcRCqaADLO52eQDx21x11HnZjD5UKP/view?usp=sharing
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,29: Huge Income-Un-expected Income/Expenditure,JxORPrS1AKk,https://drive.google.com/file/d/17UZr2dHMDhafP32kd5fPejSeaJQ5e1LA/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,30: Possible Remediesfor financial issues (Part-01),5KlbsNICDYE,none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,31: Possible Remedies for financial issues (Part-02),IcpcQrF_khQ, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,32: Calculating Vimshothari Dasha,9c6ZvlCzhic, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,33: Analysing Vimshothari Dasha(Part-1),Cn0r4HqjhsM,https://drive.google.com/file/d/1jqhTvnRD4CqEj8nEBefZDfHoBdcFXoZ2/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,34: Analysing Vimshothari Dasha(Part-2),d7WMhjQpZl8,https://drive.google.com/file/d/1JYxXI3uwHOTlgePu6v5IiKkPDWSd-V3d/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,35: Vimshothari Dasha - Abhyasa,kbBwdBqs4vw, none
