Course_name, Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,41: Sun’s Role in Marriage & Analyzing 7th House,2GSgQ6Fp8Gg, none
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,42: Three Pillar Formula for Marriage Prediction, cB2BWG0V83A, https://drive.google.com/file/d/1P-LWtChx3VBi93CiIYAyCUM5hVuzPKAz/view
JYOTISHA KANNADA, JYOTISHA(ಕನ್ನಡ)-2025,43: Practicing Kalatra Sthaana,OmNN9_D7tnU, none
JYOTISHA TELUGU, JYOTISHA(తెలుగు)-2025,41: Sun’s Role in Marriage & Analyzing 7th House,FFd5NxQWaZk,none
JYOTISHA TELUGU, JYOTISHA(తెలుగు)-2025,42: Three Pillar Formula for Marriage Prediction, emeIZPnVIfs, https://drive.google.com/file/d/1P-LWtChx3VBi93CiIYAyCUM5hVuzPKAz/view
JYOTISHA TELUGU, JYOTISHA(తెలుగు)-2025,43: Practicing Kalatra Sthaana,yVLp0caXV5A, none
PSYCHOLOGY KANNADA,MANA:SHASTRA(ಕನ್ನಡ),101: From Charity to Austerity: Deep Life Lessons of Bhagavad Gita,USdjuEgr4us, none
PSYCHOLOGY KANNADA,MANA:SHASTRA(ಕನ್ನಡ),102: Dhaana & Thyaga(ದಾನ ಮತ್ತು ತ್ಯಾಗ – ಅಂತರಂಗದ ಪರಿವರ್ತನೆ),ZkNLjc2f4og, none
PSYCHOLOGY KANNADA,MANA:SHASTRA(ಕನ್ನಡ),103: The Glory of the Lord — Path of Knowledge & Devotion,fe-9-wfI-bU, none
PSYCHOLOGY KANNADA,MANA:SHASTRA(ಕನ್ನಡ),104: Arujuna requests Krishna to explain "Vibhuthi"(ಭಗವಂತನ ವಿಭೂತಿ ಜ್ಞಾನಕ್ಕಾಗಿ ವಿನಂತಿ),dsuKJ9ch-mw, none
PSYCHOLOGY KANNADA,MANA:SHASTRA(ಕನ್ನಡ),105: DIVINE VIBHUTIS EXPLAINED(ವಿಷ್ಣು–ರವಿ–ಮರೀಚಿ–ಶಶಿ ವಿಭೂತಿ), hb9HznxKJSg, none
PSYCHOLOGY KANNADA,MANA:SHASTRA(ಕನ್ನಡ),106: DIVINE VIBHUTIS EXPLAINED(ಶಂಕರ-ಬೃಹಸ್ಪತಿ-ಸ್ಕಂದ-ಹಿಮಾಲಯ…),YRGItVVIbCI, none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),01: Concept of Moksha,HfzSIyf-gIQ, none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),02:Athma - 15 Fences (ఆత్మ-15 కంచలు), ptIo3vUXx50, none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),03:Concept of Moksha in Different Religions, E8DmXG3q3T0, none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),04:Budhism & Advaitha Sidhaantham, L7h6caDPy8g, none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),05: Visistha-Advaithamu & Dvaitha Sidhaanthamu, fyGESDRPtTA, none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),FAQ: The Lost Dharma of Compassion(దయ మరచిన ధర్మం),56NkpcP159o,none
PSYCHOLOGY TELUGU, MANA:SHASTRAMU(తెలుగు),Hidden Beliefs and Myths about the Eclipse(Telugu), 78bwqK81vsQ, https://drive.google.com/file/d/12OHR60cPJjpxIpcmXjBjwMCfPQSG-RsA/view




















